column,order_digits,node_code,node_depth,effective_order_digits,effective_order_names,branch_digits,feature_order_label,feature_set_label,path_label,weight,portsN,selection_sr
1111.1111,1111,1111,3,111,"('LME', 'LME', 'LME')",111,LME>LME>LME,LME,LME:1>LME:1>LME:1,1.0112173256829475,10,0.6162888680854012
1221.1111,1221,1111,3,122,"('LME', 'OP', 'OP')",111,LME>OP>OP,LME+OP,LME:1>OP:1>OP:1,-1.4722982272318033,10,0.6162888680854012
1311.11111,1311,11111,4,1311,"('LME', 'Investment', 'LME', 'LME')",1111,LME>Investment>LME>LME,Investment+LME,LME:1>Investment:1>LME:1>LME:1,0.9860993917707431,10,0.6162888680854012
2121.1111,2121,1111,3,212,"('OP', 'LME', 'OP')",111,OP>LME>OP,LME+OP,OP:1>LME:1>OP:1,-0.23669739321350872,10,0.6162888680854012
2131.1211,2131,1211,3,213,"('OP', 'LME', 'Investment')",211,OP>LME>Investment,Investment+LME+OP,OP:2>LME:1>Investment:1,0.049520667921043864,10,0.6162888680854012
2221.11111,2221,11111,4,2221,"('OP', 'OP', 'OP', 'LME')",1111,OP>OP>OP>LME,LME+OP,OP:1>OP:1>OP:1>LME:1,-0.36128915305143766,10,0.6162888680854012
3111.11,3111,11,1,3,"('Investment',)",1,Investment,Investment,Investment:1,0.5224064166705272,10,0.6162888680854012
3111.11111,3111,11111,4,3111,"('Investment', 'LME', 'LME', 'LME')",1111,Investment>LME>LME>LME,Investment+LME,Investment:1>LME:1>LME:1>LME:1,0.10665379644445983,10,0.6162888680854012
3212.12111,3212,12111,4,3212,"('Investment', 'OP', 'LME', 'OP')",2111,Investment>OP>LME>OP,Investment+LME+OP,Investment:2>OP:1>LME:1>OP:1,-0.23207487954818012,10,0.6162888680854012
3311.111,3311,111,2,33,"('Investment', 'Investment')",11,Investment>Investment,Investment,Investment:1>Investment:1,0.6264620545552081,10,0.6162888680854012
