column,order_digits,node_code,node_depth,effective_order_digits,effective_order_names,branch_digits,feature_order_label,feature_set_label,path_label,weight,portsN,selection_sr
1221.1111,1221,1111,3,122,"('LME', 'OP', 'OP')",111,LME>OP>OP,LME+OP,LME:1>OP:1>OP:1,-0.17668439438920772,10,0.7025900255572332
1311.11111,1311,11111,4,1311,"('LME', 'Investment', 'LME', 'LME')",1111,LME>Investment>LME>LME,Investment+LME,LME:1>Investment:1>LME:1>LME:1,1.8025461895608585,10,0.7025900255572332
2121.1111,2121,1111,3,212,"('OP', 'LME', 'OP')",111,OP>LME>OP,LME+OP,OP:1>LME:1>OP:1,-1.058730409188972,10,0.7025900255572332
2131.1211,2131,1211,3,213,"('OP', 'LME', 'Investment')",211,OP>LME>Investment,Investment+LME+OP,OP:2>LME:1>Investment:1,0.8175569899406032,10,0.7025900255572332
2221.11111,2221,11111,4,2221,"('OP', 'OP', 'OP', 'LME')",1111,OP>OP>OP>LME,LME+OP,OP:1>OP:1>OP:1>LME:1,-0.5793689703589319,10,0.7025900255572332
2321.12111,2321,12111,4,2321,"('OP', 'Investment', 'OP', 'LME')",2111,OP>Investment>OP>LME,Investment+LME+OP,OP:2>Investment:1>OP:1>LME:1,0.0051107767733661845,10,0.7025900255572332
3111.11,3111,11,1,3,"('Investment',)",1,Investment,Investment,Investment:1,0.5327964502955304,10,0.7025900255572332
3111.11111,3111,11111,4,3111,"('Investment', 'LME', 'LME', 'LME')",1111,Investment>LME>LME>LME,Investment+LME,Investment:1>LME:1>LME:1>LME:1,0.1603534018744663,10,0.7025900255572332
3212.12111,3212,12111,4,3212,"('Investment', 'OP', 'LME', 'OP')",2111,Investment>OP>LME>OP,Investment+LME+OP,Investment:2>OP:1>LME:1>OP:1,-0.8107190980067295,10,0.7025900255572332
3311.111,3311,111,2,33,"('Investment', 'Investment')",11,Investment>Investment,Investment,Investment:1>Investment:1,0.30713906349901626,10,0.7025900255572332
