characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb,mom","mkt,hml,smb,mom",8,5,2010-07-01_to_2013-07-01,2013-07-01_to_2016-07-01,0.1694915254237288,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2010-07-01_to_2013-07-01,2014-01-01_to_2017-01-01,0.29310344827586204,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2010-07-01_to_2013-07-01,2014-07-01_to_2017-07-01,0.2878787878787879,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2010-07-01_to_2013-07-01,2015-01-01_to_2018-01-01,0.19298245614035087,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2011-07-01_to_2014-07-01,0.2028985507246377,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2012-01-01_to_2015-01-01,0.031746031746031744,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2012-07-01_to_2015-07-01,0.03225806451612903,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2013-01-01_to_2016-01-01,0.07575757575757576,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2013-07-01_to_2016-07-01,0.057971014492753624,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2014-01-01_to_2017-01-01,0.16176470588235295,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2014-07-01_to_2017-07-01,0.2898550724637681,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-01-01_to_2014-01-01,2015-01-01_to_2018-01-01,0.07462686567164178,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-07-01_to_2014-07-01,2012-01-01_to_2015-01-01,0.09433962264150944,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-07-01_to_2014-07-01,2012-07-01_to_2015-07-01,0.09615384615384616,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-07-01_to_2014-07-01,2013-01-01_to_2016-01-01,0.12280701754385964,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-07-01_to_2014-07-01,2013-07-01_to_2016-07-01,0.13793103448275862,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-07-01_to_2014-07-01,2014-01-01_to_2017-01-01,0.2413793103448276,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-07-01_to_2014-07-01,2014-07-01_to_2017-07-01,0.28125,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2011-07-01_to_2014-07-01,2015-01-01_to_2018-01-01,0.1016949152542373,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-01-01_to_2015-01-01,2012-07-01_to_2015-07-01,0.4444444444444444,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-01-01_to_2015-01-01,2013-01-01_to_2016-01-01,0.3142857142857143,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-01-01_to_2015-01-01,2013-07-01_to_2016-07-01,0.4117647058823529,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-01-01_to_2015-01-01,2014-01-01_to_2017-01-01,0.17391304347826086,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-01-01_to_2015-01-01,2014-07-01_to_2017-07-01,0.06666666666666667,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-01-01_to_2015-01-01,2015-01-01_to_2018-01-01,0.42424242424242425,0.75
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-07-01_to_2015-07-01,2013-01-01_to_2016-01-01,0.21621621621621623,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-07-01_to_2015-07-01,2013-07-01_to_2016-07-01,0.38235294117647056,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-07-01_to_2015-07-01,2014-01-01_to_2017-01-01,0.17777777777777778,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-07-01_to_2015-07-01,2014-07-01_to_2017-07-01,0.06779661016949153,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2012-07-01_to_2015-07-01,2015-01-01_to_2018-01-01,0.35294117647058826,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2013-01-01_to_2016-01-01,2013-07-01_to_2016-07-01,0.5,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2013-01-01_to_2016-01-01,2014-01-01_to_2017-01-01,0.3333333333333333,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2013-01-01_to_2016-01-01,2014-07-01_to_2017-07-01,0.25,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2013-01-01_to_2016-01-01,2015-01-01_to_2018-01-01,0.39473684210526316,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2013-07-01_to_2016-07-01,2014-01-01_to_2017-01-01,0.3191489361702128,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2013-07-01_to_2016-07-01,2014-07-01_to_2017-07-01,0.16129032258064516,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2013-07-01_to_2016-07-01,2015-01-01_to_2018-01-01,0.4864864864864865,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2014-01-01_to_2017-01-01,2014-07-01_to_2017-07-01,0.3,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2014-01-01_to_2017-01-01,2015-01-01_to_2018-01-01,0.2708333333333333,1.0
"hml,smb,mom","mkt,hml,smb,mom",8,5,2014-07-01_to_2017-07-01,2015-01-01_to_2018-01-01,0.18333333333333332,1.0
