characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.0,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.0,0.5
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.15384615384615385,0.5
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.22448979591836735,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.14545454545454545,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.0,0.5
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.1836734693877551,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.046511627906976744,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.12,1.0
"hml,smb",mkt,8,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.07692307692307693,0.5
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.2619047619047619,0.5
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.01639344262295082,0.5
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.10714285714285714,1.0
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2011-07-01_to_2014-07-01,0.08333333333333333,1.0
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2013-01-01_to_2016-01-01,0.09090909090909091,0.5
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2013-07-01_to_2016-07-01,0.1320754716981132,1.0
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2014-01-01_to_2017-01-01,0.06818181818181818,1.0
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2014-07-01_to_2017-07-01,0.13725490196078433,1.0
"hml,smb",mkt,8,5,2009-07-01_to_2012-07-01,2015-01-01_to_2018-01-01,0.0,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2010-07-01_to_2013-07-01,0.017241379310344827,1.0
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2011-01-01_to_2014-01-01,0.1346153846153846,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2011-07-01_to_2014-07-01,0.12727272727272726,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2012-01-01_to_2015-01-01,0.0,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2012-07-01_to_2015-07-01,0.0,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2013-01-01_to_2016-01-01,0.046511627906976744,1.0
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2013-07-01_to_2016-07-01,0.07547169811320754,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2014-01-01_to_2017-01-01,0.1891891891891892,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2014-07-01_to_2017-07-01,0.018518518518518517,0.5
"hml,smb",mkt,8,5,2010-01-01_to_2013-01-01,2015-01-01_to_2018-01-01,0.0,1.0
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2011-01-01_to_2014-01-01,0.0967741935483871,0.5
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2011-07-01_to_2014-07-01,0.26785714285714285,0.5
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2012-01-01_to_2015-01-01,0.0,0.5
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2012-07-01_to_2015-07-01,0.0,0.5
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2013-01-01_to_2016-01-01,0.018867924528301886,1.0
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2013-07-01_to_2016-07-01,0.17857142857142858,0.5
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2014-01-01_to_2017-01-01,0.1276595744680851,0.5
"hml,smb",mkt,8,5,2010-07-01_to_2013-07-01,2014-07-01_to_2017-07-01,0.015873015873015872,0.5
