characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.0,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.0,0.5
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.08108108108108109,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.14423076923076922,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.06779661016949153,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.0,0.5
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.06796116504854369,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.020618556701030927,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.07526881720430108,1.0
"hml,smb",mkt,11,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.033707865168539325,0.5
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.10638297872340426,0.5
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.008264462809917356,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.05217391304347826,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2011-07-01_to_2014-07-01,0.04065040650406504,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2013-01-01_to_2016-01-01,0.042105263157894736,0.5
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2013-07-01_to_2016-07-01,0.06666666666666667,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2014-01-01_to_2017-01-01,0.030612244897959183,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2014-07-01_to_2017-07-01,0.0967741935483871,1.0
"hml,smb",mkt,11,5,2009-07-01_to_2012-07-01,2015-01-01_to_2018-01-01,0.0,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2010-07-01_to_2013-07-01,0.008547008547008548,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2011-01-01_to_2014-01-01,0.06363636363636363,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2011-07-01_to_2014-07-01,0.05982905982905983,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2012-01-01_to_2015-01-01,0.0,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2012-07-01_to_2015-07-01,0.0,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2013-01-01_to_2016-01-01,0.021505376344086023,1.0
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2013-07-01_to_2016-07-01,0.038461538461538464,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2014-01-01_to_2017-01-01,0.0898876404494382,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2014-07-01_to_2017-07-01,0.010309278350515464,0.5
"hml,smb",mkt,11,5,2010-01-01_to_2013-01-01,2015-01-01_to_2018-01-01,0.0,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2011-01-01_to_2014-01-01,0.06299212598425197,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2011-07-01_to_2014-07-01,0.14516129032258066,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2013-01-01_to_2016-01-01,0.008928571428571428,0.5
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2013-07-01_to_2016-07-01,0.08620689655172414,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2014-01-01_to_2017-01-01,0.05504587155963303,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2014-07-01_to_2017-07-01,0.008695652173913044,1.0
"hml,smb",mkt,11,5,2010-07-01_to_2013-07-01,2015-01-01_to_2018-01-01,0.0,0.5
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2011-07-01_to_2014-07-01,0.09302325581395349,1.0
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2013-01-01_to_2016-01-01,0.027522935779816515,0.5
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2013-07-01_to_2016-07-01,0.06837606837606838,1.0
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2014-01-01_to_2017-01-01,0.07547169811320754,1.0
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2014-07-01_to_2017-07-01,0.06481481481481481,1.0
"hml,smb",mkt,11,5,2011-01-01_to_2014-01-01,2015-01-01_to_2018-01-01,0.01904761904761905,0.5
"hml,smb",mkt,11,5,2011-07-01_to_2014-07-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb",mkt,11,5,2011-07-01_to_2014-07-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb",mkt,11,5,2011-07-01_to_2014-07-01,2013-01-01_to_2016-01-01,0.02586206896551724,0.5
"hml,smb",mkt,11,5,2011-07-01_to_2014-07-01,2013-07-01_to_2016-07-01,0.07317073170731707,1.0
"hml,smb",mkt,11,5,2011-07-01_to_2014-07-01,2014-01-01_to_2017-01-01,0.09009009009009009,1.0
"hml,smb",mkt,11,5,2011-07-01_to_2014-07-01,2014-07-01_to_2017-07-01,0.016666666666666666,1.0
"hml,smb",mkt,11,5,2011-07-01_to_2014-07-01,2015-01-01_to_2018-01-01,0.008849557522123894,0.5
"hml,smb",mkt,11,5,2012-01-01_to_2015-01-01,2012-07-01_to_2015-07-01,0.0196078431372549,1.0
"hml,smb",mkt,11,5,2012-01-01_to_2015-01-01,2013-01-01_to_2016-01-01,0.0,0.5
"hml,smb",mkt,11,5,2012-01-01_to_2015-01-01,2013-07-01_to_2016-07-01,0.0,1.0
"hml,smb",mkt,11,5,2012-01-01_to_2015-01-01,2014-01-01_to_2017-01-01,0.0,1.0
"hml,smb",mkt,11,5,2012-01-01_to_2015-01-01,2014-07-01_to_2017-07-01,0.0,1.0
"hml,smb",mkt,11,5,2012-01-01_to_2015-01-01,2015-01-01_to_2018-01-01,0.0,0.5
"hml,smb",mkt,11,5,2012-07-01_to_2015-07-01,2013-01-01_to_2016-01-01,0.0,0.5
"hml,smb",mkt,11,5,2012-07-01_to_2015-07-01,2013-07-01_to_2016-07-01,0.0,1.0
"hml,smb",mkt,11,5,2012-07-01_to_2015-07-01,2014-01-01_to_2017-01-01,0.0,1.0
"hml,smb",mkt,11,5,2012-07-01_to_2015-07-01,2014-07-01_to_2017-07-01,0.0,1.0
"hml,smb",mkt,11,5,2012-07-01_to_2015-07-01,2015-01-01_to_2018-01-01,0.0,0.5
"hml,smb",mkt,11,5,2013-01-01_to_2016-01-01,2013-07-01_to_2016-07-01,0.061855670103092786,0.5
"hml,smb",mkt,11,5,2013-01-01_to_2016-01-01,2014-01-01_to_2017-01-01,0.01098901098901099,0.5
"hml,smb",mkt,11,5,2013-01-01_to_2016-01-01,2014-07-01_to_2017-07-01,0.2236842105263158,0.5
"hml,smb",mkt,11,5,2013-01-01_to_2016-01-01,2015-01-01_to_2018-01-01,0.011904761904761904,1.0
"hml,smb",mkt,11,5,2013-07-01_to_2016-07-01,2014-01-01_to_2017-01-01,0.039603960396039604,1.0
"hml,smb",mkt,11,5,2013-07-01_to_2016-07-01,2014-07-01_to_2017-07-01,0.019230769230769232,1.0
"hml,smb",mkt,11,5,2013-07-01_to_2016-07-01,2015-01-01_to_2018-01-01,0.0,0.5
"hml,smb",mkt,11,5,2014-01-01_to_2017-01-01,2014-07-01_to_2017-07-01,0.021505376344086023,1.0
"hml,smb",mkt,11,5,2014-01-01_to_2017-01-01,2015-01-01_to_2018-01-01,0.0,0.5
"hml,smb",mkt,11,5,2014-07-01_to_2017-07-01,2015-01-01_to_2018-01-01,0.03529411764705882,0.5
