characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature_set,count,n_windows,avg_leaf_depth,avg_n_stocks
"hml,smb","mkt,hml,smb",11,5,hml+smb,1531,13,8.685826257348138,8.816459830176356
"hml,smb","mkt,hml,smb",11,5,hml,3,3,1.6666666666666667,7.333333333333333
