characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature_order,count,n_windows,avg_leaf_depth,avg_n_stocks
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb,16,7,4.0,6.8125
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>hml>smb>smb,16,2,8.0,19.375
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>hml>smb>smb,16,4,8.0,18.4375
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>hml>smb>smb,14,2,8.0,26.357142857142858
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>hml>smb,13,2,7.0,6.461538461538462
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>hml,12,5,6.0,6.5
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>smb>hml>smb,12,2,8.0,8.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>smb>smb>smb,12,4,8.0,14.666666666666666
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>hml>hml>smb,12,4,8.0,29.583333333333332
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>hml>smb>hml,12,4,8.0,17.583333333333332
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>hml>smb,11,3,7.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>hml>smb>smb>smb>smb,10,1,8.0,20.2
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>hml>hml>smb,10,2,8.0,50.6
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>hml>smb>hml,10,2,8.0,11.4
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>smb>hml>hml>smb,10,2,8.0,22.2
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>smb>smb>smb>hml,10,2,8.0,58.5
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>hml>smb>hml,10,1,8.0,31.9
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>smb>hml>hml,10,3,8.0,8.8
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml,10,5,5.0,6.7
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>smb>smb>hml,10,3,8.0,19.4
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>hml>hml>hml,10,4,8.0,16.2
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml>smb>smb>hml,10,3,8.0,29.6
"hml,smb","mkt,hml,smb",8,5,smb>hml>smb>smb>smb>hml>smb>hml,10,1,8.0,31.1
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>smb>smb,9,4,7.0,6.777777777777778
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>smb>hml,8,3,7.0,6.75
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>smb>smb>hml>hml,8,1,8.0,41.125
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>smb,8,4,6.0,7.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb,8,6,5.0,6.625
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>hml>hml>smb,8,3,8.0,14.5
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>hml>smb>hml,8,2,8.0,8.25
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>smb,8,3,6.0,6.875
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>hml>hml>smb,8,3,8.0,11.625
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>hml>smb,8,4,7.0,7.5
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>hml>smb>hml,8,3,8.0,8.5
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>smb>hml>hml,8,2,8.0,9.875
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>smb>smb>smb,8,1,8.0,16.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml>hml>smb>smb,8,2,8.0,14.125
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb,7,4,4.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>smb,7,4,6.0,6.428571428571429
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb,7,3,5.0,5.428571428571429
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml,7,4,5.0,6.428571428571429
"hml,smb","mkt,hml,smb",8,5,smb>hml>hml>smb,7,2,4.0,5.857142857142857
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>hml>smb,6,2,7.0,5.5
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>smb>hml>smb,6,2,8.0,31.666666666666668
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb,6,5,3.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>hml>smb,6,3,5.0,5.333333333333333
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml,6,2,5.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>hml>hml>smb,6,2,8.0,9.666666666666666
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>hml>hml,6,2,7.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>hml>smb,6,3,7.0,5.833333333333333
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>smb>hml>smb,6,1,8.0,10.333333333333334
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>hml>smb>smb>hml>hml,6,1,8.0,69.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>smb>hml>hml,6,1,8.0,24.166666666666668
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>hml>smb>smb,6,2,8.0,13.166666666666666
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>smb>smb>hml,6,2,8.0,21.333333333333332
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml>hml>hml>hml,6,1,8.0,73.16666666666667
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml>smb,6,2,6.0,6.166666666666667
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml>smb>hml>hml,6,2,8.0,9.333333333333334
"hml,smb","mkt,hml,smb",8,5,smb>hml>hml>hml>hml>hml>smb>smb,6,1,8.0,9.0
"hml,smb","mkt,hml,smb",8,5,smb>hml>hml>smb>hml>hml>smb>smb,6,1,8.0,15.166666666666666
"hml,smb","mkt,hml,smb",8,5,smb>hml>hml>smb>smb,6,2,5.0,6.666666666666667
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>smb,5,3,6.0,6.2
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>smb>smb>hml,5,2,7.0,5.8
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>hml,5,3,6.0,6.2
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>smb>smb,5,2,7.0,6.4
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>hml,5,3,6.0,7.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>hml>hml,5,3,7.0,7.4
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>hml>smb>hml,5,2,7.0,6.4
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>smb>smb>hml,5,2,6.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml,5,3,4.0,7.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml>smb>hml,5,3,7.0,6.8
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>smb>hml,5,3,6.0,6.0
"hml,smb","mkt,hml,smb",8,5,smb>hml>hml>hml>hml>hml>smb,5,1,7.0,5.8
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>hml>hml>smb>smb>hml,4,1,8.0,12.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>hml>hml>smb>smb>smb,4,1,8.0,11.5
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>hml>smb>hml,4,2,6.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>hml>smb>hml>hml>smb,4,1,8.0,6.25
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>hml>smb>smb>smb>hml,4,1,8.0,8.75
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb,4,2,4.0,5.75
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml,4,3,5.0,6.75
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>smb>smb>hml,4,2,8.0,10.25
"hml,smb","mkt,hml,smb",8,5,hml>hml>hml>smb>hml>smb>smb>smb,4,2,8.0,5.75
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>hml,4,3,4.0,6.75
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>hml>smb>hml>hml>hml,4,1,8.0,14.5
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>hml>hml,4,1,7.0,6.5
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>smb>hml>hml,4,2,8.0,23.5
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>smb>hml>smb,4,2,8.0,25.25
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>hml>smb>smb>smb,4,2,8.0,22.0
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>hml>hml>hml,4,2,8.0,30.25
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>hml>smb>smb,4,2,8.0,6.25
"hml,smb","mkt,hml,smb",8,5,hml>hml>smb>smb>smb>smb>hml,4,2,7.0,6.0
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>hml>hml>smb>hml>smb,4,1,8.0,30.75
"hml,smb","mkt,hml,smb",8,5,hml>smb>hml>hml>smb>smb>smb>hml,4,1,8.0,13.75
"hml,smb","mkt,hml,smb",8,5,hml>smb>smb>hml>hml>hml>smb>hml,4,2,8.0,8.5
"hml,smb","mkt,hml,smb",8,5,smb>hml>hml>hml>hml>hml>hml>smb,4,1,8.0,88.5
