characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.10317460317460317,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.20689655172413793,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.12403100775193798,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.04285714285714286,0.75
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.061068702290076333,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.14285714285714285,0.75
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.1553398058252427,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.1694915254237288,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.26126126126126126,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.11290322580645161,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.06293706293706294,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.15702479338842976,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.13076923076923078,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.1259259259259259,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.05517241379310345,0.75
"hml,smb,mom","mkt,hml,smb",11,5,2009-07-01_to_2012-07-01,2011-07-01_to_2014-07-01,0.10606060606060606,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-07-01_to_2012-07-01,2012-01-01_to_2015-01-01,0.02877697841726619,0.75
"hml,smb,mom","mkt,hml,smb",11,5,2009-07-01_to_2012-07-01,2012-07-01_to_2015-07-01,0.03278688524590164,1.0
"hml,smb,mom","mkt,hml,smb",11,5,2009-07-01_to_2012-07-01,2013-01-01_to_2016-01-01,0.12403100775193798,1.0
