characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature,total_uses,avg_depth_position,n_windows
"hml,smb,mom","mkt,hml,smb,mom",14,5,mom,12171,3.7231944786788267,13
"hml,smb,mom","mkt,hml,smb,mom",14,5,smb,3646,7.727098189797037,13
"hml,smb,mom","mkt,hml,smb,mom",14,5,hml,3579,7.977647387538418,13
