characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature_order,count,n_windows,avg_leaf_depth,avg_n_stocks
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml,48,11,6.0,6.104166666666667
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>hml,35,12,7.0,6.0
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb,29,12,6.0,5.9655172413793105
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>hml,26,7,7.0,6.346153846153846
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>smb,25,8,7.0,6.4
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>smb,25,8,7.0,6.12
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>hml,23,6,7.0,6.434782608695652
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>smb>smb,21,7,8.0,5.809523809523809
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>smb>hml,20,8,8.0,6.15
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>smb>smb,20,9,8.0,6.95
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>smb,18,8,7.0,6.555555555555555
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>hml>hml,17,5,8.0,6.411764705882353
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>smb>hml,16,6,8.0,5.9375
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>smb,16,6,5.0,6.0
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>smb>mom>hml,16,5,7.0,5.75
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>hml>hml,14,6,8.0,7.071428571428571
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>smb>smb,14,6,8.0,6.714285714285714
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>smb>hml>hml,13,4,7.0,7.153846153846154
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>smb>smb>hml,12,4,9.0,6.083333333333333
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>mom>hml,12,6,8.0,6.916666666666667
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>smb>mom>smb,12,4,9.0,6.0
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>smb>mom,12,3,6.0,7.25
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>mom>hml,11,6,8.0,6.363636363636363
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>hml>hml>hml,11,6,9.0,6.0
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>smb>mom,11,4,8.0,6.181818181818182
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>hml>smb,11,6,8.0,6.454545454545454
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>smb>mom,11,5,8.0,5.7272727272727275
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>hml>mom,10,4,6.0,6.0
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>hml>mom>smb,10,4,7.0,6.4
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>mom>smb>smb,10,3,9.0,6.2
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>smb>smb>hml,10,3,9.0,6.2
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>smb>hml,10,4,8.0,6.1
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>smb>hml>hml,10,3,9.0,5.8
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>smb>smb>mom,10,4,9.0,6.5
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>smb>hml,10,4,6.0,5.8
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>hml>hml>smb,9,3,7.0,6.666666666666667
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>hml>smb,9,5,6.0,7.0
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>hml>smb,9,4,8.0,6.0
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>mom,9,6,7.0,7.111111111111111
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>mom>mom,9,4,8.0,6.666666666666667
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>mom>smb,9,5,8.0,6.333333333333333
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>smb>mom,9,4,8.0,6.222222222222222
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>hml>mom,9,5,8.0,5.666666666666667
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>hml>smb,9,4,8.0,6.666666666666667
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>smb>smb,9,4,6.0,6.111111111111111
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>hml,8,4,5.0,6.5
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>hml>smb>smb>smb,8,4,9.0,5.875
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>mom>hml>smb>hml,8,4,9.0,6.375
"hml,smb,mom",mkt,14,5,mom>mom>mom>mom>mom>smb>hml>mom>hml,8,3,9.0,6.75
