characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.26666666666666666,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.3953488372093023,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.21818181818181817,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.09230769230769231,0.75
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.14285714285714285,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.35294117647058826,0.75
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.35294117647058826,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.5294117647058824,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.5882352941176471,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.3333333333333333,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.16666666666666666,1.0
"hml,smb,mom",mkt,8,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.4857142857142857,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.3,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.2631578947368421,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.11764705882352941,0.75
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2011-07-01_to_2014-07-01,0.1694915254237288,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2012-01-01_to_2015-01-01,0.0851063829787234,0.75
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2012-07-01_to_2015-07-01,0.0625,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2013-01-01_to_2016-01-01,0.29545454545454547,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2013-07-01_to_2016-07-01,0.20408163265306123,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2014-01-01_to_2017-01-01,0.3,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2014-07-01_to_2017-07-01,0.22950819672131148,1.0
"hml,smb,mom",mkt,8,5,2009-07-01_to_2012-07-01,2015-01-01_to_2018-01-01,0.16326530612244897,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2010-07-01_to_2013-07-01,0.20967741935483872,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2011-01-01_to_2014-01-01,0.09722222222222222,0.75
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2011-07-01_to_2014-07-01,0.22033898305084745,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2012-01-01_to_2015-01-01,0.2,0.75
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2012-07-01_to_2015-07-01,0.14893617021276595,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2013-01-01_to_2016-01-01,0.36363636363636365,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2013-07-01_to_2016-07-01,0.3191489361702128,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2014-01-01_to_2017-01-01,0.3076923076923077,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2014-07-01_to_2017-07-01,0.3220338983050847,1.0
"hml,smb,mom",mkt,8,5,2010-01-01_to_2013-01-01,2015-01-01_to_2018-01-01,0.36363636363636365,1.0
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2011-01-01_to_2014-01-01,0.22857142857142856,0.75
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2011-07-01_to_2014-07-01,0.234375,1.0
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2012-01-01_to_2015-01-01,0.08928571428571429,0.75
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2012-07-01_to_2015-07-01,0.08928571428571429,1.0
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2013-01-01_to_2016-01-01,0.24074074074074073,1.0
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2013-07-01_to_2016-07-01,0.1694915254237288,1.0
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2014-01-01_to_2017-01-01,0.29310344827586204,1.0
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2014-07-01_to_2017-07-01,0.2878787878787879,1.0
"hml,smb,mom",mkt,8,5,2010-07-01_to_2013-07-01,2015-01-01_to_2018-01-01,0.19642857142857142,1.0
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2011-07-01_to_2014-07-01,0.2028985507246377,0.75
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2012-01-01_to_2015-01-01,0.031746031746031744,1.0
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2012-07-01_to_2015-07-01,0.031746031746031744,0.75
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2013-01-01_to_2016-01-01,0.07575757575757576,0.75
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2013-07-01_to_2016-07-01,0.057971014492753624,0.75
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2014-01-01_to_2017-01-01,0.16176470588235295,0.75
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2014-07-01_to_2017-07-01,0.2898550724637681,0.75
"hml,smb,mom",mkt,8,5,2011-01-01_to_2014-01-01,2015-01-01_to_2018-01-01,0.07575757575757576,0.75
"hml,smb,mom",mkt,8,5,2011-07-01_to_2014-07-01,2012-01-01_to_2015-01-01,0.09433962264150944,0.75
"hml,smb,mom",mkt,8,5,2011-07-01_to_2014-07-01,2012-07-01_to_2015-07-01,0.09433962264150944,1.0
"hml,smb,mom",mkt,8,5,2011-07-01_to_2014-07-01,2013-01-01_to_2016-01-01,0.12280701754385964,1.0
"hml,smb,mom",mkt,8,5,2011-07-01_to_2014-07-01,2013-07-01_to_2016-07-01,0.13793103448275862,1.0
"hml,smb,mom",mkt,8,5,2011-07-01_to_2014-07-01,2014-01-01_to_2017-01-01,0.2413793103448276,1.0
"hml,smb,mom",mkt,8,5,2011-07-01_to_2014-07-01,2014-07-01_to_2017-07-01,0.28125,1.0
"hml,smb,mom",mkt,8,5,2011-07-01_to_2014-07-01,2015-01-01_to_2018-01-01,0.10344827586206896,1.0
"hml,smb,mom",mkt,8,5,2012-01-01_to_2015-01-01,2012-07-01_to_2015-07-01,0.48148148148148145,0.75
"hml,smb,mom",mkt,8,5,2012-01-01_to_2015-01-01,2013-01-01_to_2016-01-01,0.3142857142857143,0.75
"hml,smb,mom",mkt,8,5,2012-01-01_to_2015-01-01,2013-07-01_to_2016-07-01,0.4117647058823529,0.75
"hml,smb,mom",mkt,8,5,2012-01-01_to_2015-01-01,2014-01-01_to_2017-01-01,0.17391304347826086,0.75
"hml,smb,mom",mkt,8,5,2012-01-01_to_2015-01-01,2014-07-01_to_2017-07-01,0.06666666666666667,0.75
"hml,smb,mom",mkt,8,5,2012-01-01_to_2015-01-01,2015-01-01_to_2018-01-01,0.3939393939393939,0.75
"hml,smb,mom",mkt,8,5,2012-07-01_to_2015-07-01,2013-01-01_to_2016-01-01,0.24324324324324326,1.0
"hml,smb,mom",mkt,8,5,2012-07-01_to_2015-07-01,2013-07-01_to_2016-07-01,0.4117647058823529,1.0
"hml,smb,mom",mkt,8,5,2012-07-01_to_2015-07-01,2014-01-01_to_2017-01-01,0.17391304347826086,1.0
"hml,smb,mom",mkt,8,5,2012-07-01_to_2015-07-01,2014-07-01_to_2017-07-01,0.06666666666666667,1.0
"hml,smb,mom",mkt,8,5,2012-07-01_to_2015-07-01,2015-01-01_to_2018-01-01,0.35294117647058826,1.0
"hml,smb,mom",mkt,8,5,2013-01-01_to_2016-01-01,2013-07-01_to_2016-07-01,0.5,1.0
"hml,smb,mom",mkt,8,5,2013-01-01_to_2016-01-01,2014-01-01_to_2017-01-01,0.3333333333333333,1.0
"hml,smb,mom",mkt,8,5,2013-01-01_to_2016-01-01,2014-07-01_to_2017-07-01,0.25,1.0
"hml,smb,mom",mkt,8,5,2013-01-01_to_2016-01-01,2015-01-01_to_2018-01-01,0.3684210526315789,1.0
"hml,smb,mom",mkt,8,5,2013-07-01_to_2016-07-01,2014-01-01_to_2017-01-01,0.3191489361702128,1.0
"hml,smb,mom",mkt,8,5,2013-07-01_to_2016-07-01,2014-07-01_to_2017-07-01,0.16129032258064516,1.0
"hml,smb,mom",mkt,8,5,2013-07-01_to_2016-07-01,2015-01-01_to_2018-01-01,0.4594594594594595,1.0
"hml,smb,mom",mkt,8,5,2014-01-01_to_2017-01-01,2014-07-01_to_2017-07-01,0.3,1.0
"hml,smb,mom",mkt,8,5,2014-01-01_to_2017-01-01,2015-01-01_to_2018-01-01,0.2765957446808511,1.0
"hml,smb,mom",mkt,8,5,2014-07-01_to_2017-07-01,2015-01-01_to_2018-01-01,0.1864406779661017,1.0
