characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature_set,count,n_windows,avg_leaf_depth,avg_n_stocks
"hml,smb",mkt,8,5,hml+smb,880,13,7.038636363636364,15.20340909090909
"hml,smb",mkt,8,5,hml,5,4,4.2,28.2
