characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature,total_uses,avg_depth_position,n_windows
"hml,smb","mkt,hml,smb",8,5,hml,3408,3.779342723004695,13
"hml,smb","mkt,hml,smb",8,5,smb,2807,4.5785536159601,13
