characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.0896551724137931,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.18604651162790697,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.10457516339869281,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.03896103896103896,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.05263157894736842,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.11805555555555555,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.11764705882352941,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.14492753623188406,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.21481481481481482,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.0958904109589041,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.055900621118012424,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.125,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.125,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.1118421052631579,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.05263157894736842,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2011-07-01_to_2014-07-01,0.0958904109589041,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2012-01-01_to_2015-01-01,0.025477707006369428,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2012-07-01_to_2015-07-01,0.02702702702702703,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2013-01-01_to_2016-01-01,0.11267605633802817,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2013-07-01_to_2016-07-01,0.06493506493506493,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2014-01-01_to_2017-01-01,0.0958904109589041,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2014-07-01_to_2017-07-01,0.1038961038961039,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2009-07-01_to_2012-07-01,2015-01-01_to_2018-01-01,0.062111801242236024,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2010-07-01_to_2013-07-01,0.10067114093959731,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2011-01-01_to_2014-01-01,0.05442176870748299,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2011-07-01_to_2014-07-01,0.06896551724137931,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2012-01-01_to_2015-01-01,0.09090909090909091,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2012-07-01_to_2015-07-01,0.05755395683453238,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2013-01-01_to_2016-01-01,0.1417910447761194,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2013-07-01_to_2016-07-01,0.14388489208633093,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2014-01-01_to_2017-01-01,0.13138686131386862,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2014-07-01_to_2017-07-01,0.11486486486486487,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-01-01_to_2013-01-01,2015-01-01_to_2018-01-01,0.11409395973154363,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2011-01-01_to_2014-01-01,0.11038961038961038,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2011-07-01_to_2014-07-01,0.08917197452229299,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2012-01-01_to_2015-01-01,0.01775147928994083,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2012-07-01_to_2015-07-01,0.03164556962025317,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2013-01-01_to_2016-01-01,0.10457516339869281,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2013-07-01_to_2016-07-01,0.0736196319018405,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2014-01-01_to_2017-01-01,0.13245033112582782,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2014-07-01_to_2017-07-01,0.12422360248447205,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2010-07-01_to_2013-07-01,2015-01-01_to_2018-01-01,0.08982035928143713,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2011-07-01_to_2014-07-01,0.10204081632653061,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2012-01-01_to_2015-01-01,0.012422360248447204,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2012-07-01_to_2015-07-01,0.013157894736842105,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2013-01-01_to_2016-01-01,0.03225806451612903,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2013-07-01_to_2016-07-01,0.024691358024691357,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2014-01-01_to_2017-01-01,0.08,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2014-07-01_to_2017-07-01,0.10967741935483871,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-01-01_to_2014-01-01,2015-01-01_to_2018-01-01,0.02976190476190476,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-07-01_to_2014-07-01,2012-01-01_to_2015-01-01,0.03821656050955414,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-07-01_to_2014-07-01,2012-07-01_to_2015-07-01,0.03355704697986577,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-07-01_to_2014-07-01,2013-01-01_to_2016-01-01,0.03896103896103896,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-07-01_to_2014-07-01,2013-07-01_to_2016-07-01,0.05063291139240506,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-07-01_to_2014-07-01,2014-01-01_to_2017-01-01,0.0945945945945946,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-07-01_to_2014-07-01,2014-07-01_to_2017-07-01,0.10967741935483871,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2011-07-01_to_2014-07-01,2015-01-01_to_2018-01-01,0.03592814371257485,1.0
"hml,smb,mom","mkt,hml,smb,mom",14,5,2012-01-01_to_2015-01-01,2012-07-01_to_2015-07-01,0.13138686131386862,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2012-01-01_to_2015-01-01,2013-01-01_to_2016-01-01,0.10273972602739725,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2012-01-01_to_2015-01-01,2013-07-01_to_2016-07-01,0.11333333333333333,0.75
"hml,smb,mom","mkt,hml,smb,mom",14,5,2012-01-01_to_2015-01-01,2014-01-01_to_2017-01-01,0.03821656050955414,0.75
