characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,window_1,window_2,jaccard_feature_order,jaccard_feature_set
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2009-07-01_to_2012-07-01,0.0,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2010-01-01_to_2013-01-01,0.0,0.5
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2010-07-01_to_2013-07-01,0.06666666666666667,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2011-01-01_to_2014-01-01,0.11940298507462686,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2011-07-01_to_2014-07-01,0.05555555555555555,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2012-01-01_to_2015-01-01,0.0,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2012-07-01_to_2015-07-01,0.0,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2013-01-01_to_2016-01-01,0.0,0.5
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2013-07-01_to_2016-07-01,0.050724637681159424,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2014-01-01_to_2017-01-01,0.015748031496062992,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2014-07-01_to_2017-07-01,0.056,1.0
"hml,smb","mkt,hml,smb",14,5,2009-01-01_to_2012-01-01,2015-01-01_to_2018-01-01,0.023255813953488372,0.5
"hml,smb","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2010-01-01_to_2013-01-01,0.07751937984496124,0.5
"hml,smb","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2010-07-01_to_2013-07-01,0.006993006993006993,1.0
"hml,smb","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2011-01-01_to_2014-01-01,0.041666666666666664,1.0
"hml,smb","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2011-07-01_to_2014-07-01,0.034013605442176874,1.0
"hml,smb","mkt,hml,smb",14,5,2009-07-01_to_2012-07-01,2012-01-01_to_2015-01-01,0.0,1.0
