characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature_order,count,n_windows,avg_leaf_depth,avg_n_stocks
"hml,smb",mkt,11,5,hml>hml>smb>smb,16,7,4.0,6.8125
"hml,smb",mkt,11,5,hml>hml>smb>smb>hml>hml>smb,13,2,7.0,6.461538461538462
"hml,smb",mkt,11,5,hml>hml>smb>smb>smb>hml,12,5,6.0,6.5
"hml,smb",mkt,11,5,hml>smb>hml>smb>smb>hml>smb,11,3,7.0,6.0
"hml,smb",mkt,11,5,hml>hml>hml>smb>smb>smb>hml>hml>hml>smb>hml,10,1,11.0,16.4
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml,10,5,5.0,6.7
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml>smb>hml>smb,10,2,8.0,7.1
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml>smb>smb>smb>hml,10,4,9.0,6.1
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml>hml>smb>smb,9,3,8.0,5.888888888888889
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml>smb>smb,9,4,7.0,6.777777777777778
"hml,smb",mkt,11,5,hml>hml>hml>smb>hml>hml>smb>smb>smb>hml,8,2,10.0,7.0
"hml,smb",mkt,11,5,hml>hml>hml>smb>hml>hml>smb>smb>smb>smb>smb,8,2,11.0,11.5
"hml,smb",mkt,11,5,hml>hml>hml>smb>hml>smb>hml,8,3,7.0,6.75
"hml,smb",mkt,11,5,hml>hml>hml>smb>smb>smb>smb>hml>hml>hml>smb,8,1,11.0,57.0
"hml,smb",mkt,11,5,hml>hml>smb>smb>hml>smb,8,4,6.0,7.0
"hml,smb",mkt,11,5,hml>hml>smb>smb>smb,8,6,5.0,6.625
"hml,smb",mkt,11,5,hml>hml>smb>smb>smb>smb,8,3,6.0,6.875
"hml,smb",mkt,11,5,hml>hml>smb>smb>smb>smb>hml>hml,8,3,8.0,6.375
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml>hml>smb,8,4,7.0,7.5
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml>hml>smb>smb>smb,8,4,9.0,7.25
"hml,smb",mkt,11,5,hml>smb>hml>smb>smb>hml>smb>hml>hml>smb,8,2,10.0,6.25
"hml,smb",mkt,11,5,hml>smb>smb>hml>hml>hml>hml>hml>hml>smb>smb,8,1,11.0,12.25
"hml,smb",mkt,11,5,smb>hml>hml>smb>hml>hml>hml>hml>hml>hml>smb,8,1,11.0,10.375
"hml,smb",mkt,11,5,hml>hml>hml>smb>hml>hml>hml>smb,7,2,8.0,7.285714285714286
"hml,smb",mkt,11,5,hml>hml>smb>smb>hml>hml>smb>smb,7,2,8.0,6.857142857142857
"hml,smb",mkt,11,5,hml>hml>smb>smb>hml>hml>smb>smb>smb,7,1,9.0,6.571428571428571
"hml,smb",mkt,11,5,hml>hml>smb>smb>smb>hml>smb>hml,7,2,8.0,6.714285714285714
"hml,smb",mkt,11,5,hml>smb>hml>smb,7,4,4.0,6.0
"hml,smb",mkt,11,5,hml>smb>hml>smb>hml>smb,7,4,6.0,6.428571428571429
"hml,smb",mkt,11,5,hml>smb>hml>smb>smb,7,3,5.0,5.428571428571429
