characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,feature,total_uses,avg_depth_position,n_windows
"hml,smb","mkt,hml,smb",14,5,hml,9738,5.238139248305607,13
"hml,smb","mkt,hml,smb",14,5,smb,8474,6.218078829360397,13
