window,testing_start_date,testing_end_date,characteristics,factors,ap_tree_max_depth,ap_tree_min_samples_leaf,node_id,leaf_depth,depth_position,feature
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,6,6,1,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,6,6,2,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,6,6,3,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,6,6,4,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,6,6,5,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,6,6,6,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,7,6,1,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,7,6,2,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,7,6,3,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,7,6,4,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,7,6,5,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,7,6,6,hml
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,10,7,1,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,10,7,2,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,10,7,3,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,10,7,4,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,10,7,5,mom
2009-01-01_to_2012-01-01,2009-01-01,2012-01-01,"hml,smb,mom",mkt,14,5,10,7,6,hml
